key,ZH-CN,ZH-TW,EN,JA,KO
Xinput.Y,Y键,Y鍵,Y Button,Yボタン,Y 버튼
Xinput.LeftShoulder,LB,LB,LB,LB,LB
Xinput.RightShoulder,RB,RB,RB,RB,RB
Xinput.LeftTrigger,LT,LT,LT,LT,LT
Xinput.RightTrigger,RT,RT,RT,RT,RT
Xinput.Back,BACK,BACK,Back,Back,Back
Xinput.Start,START,START,Start,Start,Start
Xinput.LeftThumb,LS按下,LS按下,L3,L3,L3
Xinput.RightThumb,RS按下,RS按下,R3,R3,R3
Xinput.Up,十字键上,十字鍵上,D-Pad Up,十字キー上,십자키 위
Xinput.Down,十字键下,十字鍵下,D-Pad Down,十字キー下,십자키 아래
Xinput.Left,十字键左,十字鍵左,D-Pad Left,十字キー左,십자키 왼쪽
Xinput.Right,十字键右,十字鍵右,D-Pad Right,十字キー右,십자키 오른쪽
Xinput.LeftThumbPositiveX,LS→,LS→,Left Stick Right,左スティック→,왼쪽 스틱 →
Xinput.LeftThumbNegativeX,LS←,LS←,Left Stick Left,左スティック←,왼쪽 스틱 ←
Xinput.LeftThumbPositiveY,LS↑,LS↑,Left Stick Up,左スティック↑,왼쪽 스틱 ↑
Xinput.LeftThumbNegativeY,LS↓,LS↓,Left Stick Down,左スティック↓,왼쪽 스틱 ↓
Xinput.RightThumbPositiveX,RS→,RS→,Right Stick Right,右スティック→,오른쪽 스틱 →
Xinput.RightThumbNegativeX,RS←,RS←,Right Stick Left,右スティック←,오른쪽 스틱 ←
Xinput.RightThumbPositiveY,RS↑,RS↑,Right Stick Up,右スティック↑,오른쪽 스틱 ↑
Xinput.RightThumbNegativeY,RS↓,RS↓,Right Stick Down,右スティック↓,오른쪽 스틱 ↓
